NOME_DEPARTAMENTO;NOME_SECCIONAL;NOME_DELEGACIA;CIDADE;ANO_BO;NUM_BO;DATA_COMUNICACAO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;DESC_PERIODO;DESCR_TIPOLOCAL;BAIRRO;LOGRADOURO;NUMERO_LOGRADOURO;LATITUDE;LONGITUDE;NOME_DELEGACIA_CIRCUNSCRIÇÃO;NOME_DEPARTAMENTO_CIRCUNSCRIÇÃO;NOME_SECCIONAL_CIRCUNSCRIÇÃO;NOME_MUNICIPIO_CIRCUNSCRIÇÃO;RUBRICA;DESCR_CONDUTA;NATUREZA_APURADA;MES_ESTATISTICA;ANO_ESTATISTICA
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;04º D.P. S.JOSE DOS CAMPOS;S.JOSE DOS CAMPOS;2024;AQ8531;15/01/2024;13/10/2023;23:12:00;NULL;Via Pública;VILA PAIVA;RODOVIA MONTEIRO LOBATO;107;-23,0005374;-45,8552272;DEL.POL.MONTEIRO LOBATO;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;MONTEIRO LOBATO;Lesão corporal culposa na direção de veículo automotor (Art. 303);NULL;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;2024
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;DEL.POL.MONTEIRO LOBATO;MONTEIRO LOBATO;2024;AE3025;04/01/2024;04/01/2024;NULL;A tarde;Ponto de Táxi;CENTRO;RUA HUMBERTO CAPELIN;10;-22,95688139;-45,83876509;DEL.POL.MONTEIRO LOBATO;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;MONTEIRO LOBATO;Lesão corporal (art. 129);NULL;LESÃO CORPORAL DOLOSA;1;2024
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;DEL.POL.MONTEIRO LOBATO;MONTEIRO LOBATO;2024;BE5951;25/01/2024;25/01/2024;NULL;De madrugada;Casa;VILA IRACEMA;VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS;;0;0;DEL.POL.MONTEIRO LOBATO;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;MONTEIRO LOBATO;Lesão corporal (art. 129);NULL;LESÃO CORPORAL DOLOSA;1;2024
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;DEL.POL.MONTEIRO LOBATO;MONTEIRO LOBATO;2024;AA8456;02/01/2024;02/01/2024;02:30:00;NULL;Posto de Gasolina;VILA IRACEMA;RUA ABÍLIO PEREIRA DIAS;1;-22,95695405;-45,8386262;DEL.POL.MONTEIRO LOBATO;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;MONTEIRO LOBATO;Roubo (art. 157);Interior Estabelecimento;ROUBO - OUTROS;1;2024
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;CPJ S. JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;2024;AA0693;01/01/2024;01/01/2024;06:40:00;NULL;Outros;JARDIM NOVA AMÉRICA;PRAÇA NOSSA SENHORA DE FATIMA;122;-23,19345085;-45,89865255;01º D.P. S.JOSE DOS CAMPOS;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;Furto (art. 155);Estabelecimento-Outros;FURTO - OUTROS;1;2024
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA;S.JOSE DOS CAMPOS;2024;AA0787;01/01/2024;31/12/2023;NULL;A tarde;NULL;CENTRO;AVENIDA DOUTOR JOAO GUILHERMINO;287;-23,1885406;-45,88579548;01º D.P. S.JOSE DOS CAMPOS;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;Furto (art. 155);Outros;FURTO - OUTROS;1;2024
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;CPJ S. JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;2024;AA4319;02/01/2024;02/01/2024;02:15:00;NULL;Restaurante;VILA ADYANA;RUA ENGENHEIRO PRUDENTE MEIRELES DE MORAIS;483;-23,1985226;-45,892585;01º D.P. S.JOSE DOS CAMPOS;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;Furto (art. 155);Outros;FURTO - OUTROS;1;2024
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA;S.JOSE DOS CAMPOS;2024;AA5671;01/01/2024;01/01/2024;NULL;A tarde;Via Pública;CENTRO;RUA ANTONIO MORAES BARROS;92;-23,18853586;-45,88839814;01º D.P. S.JOSE DOS CAMPOS;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;Furto (art. 155);Outros;FURTO - OUTROS;1;2024
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 3;S.JOSE DOS CAMPOS;2024;AA5702;01/01/2024;01/01/2024;15:00:00;NULL;Via Pública;JARDIM NOVA AMÉRICA;AVENIDA ANCHIETA;455;NULL;NULL;01º D.P. S.JOSE DOS CAMPOS;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;Furto (art. 155);Residência;FURTO - OUTROS;1;2024
DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.GUARATINGUETA;02º D.P. LORENA;S.JOSE DOS CAMPOS;2024;AB0637;02/01/2024;09/12/2023;NULL;Em hora incerta;Hospital;CENTRO;RUA DOLZANI RICARDO;620;-23,18690627;-45,88475233;01º D.P. S.JOSE DOS CAMPOS;DEINTER 1 - SAO JOSE DOS CAMPOS;DEL.SEC.S.JOSÉ DOS CAMPOS;S.JOSE DOS CAMPOS;Furto (art. 155);Outros;FURTO - OUTROS;1;2024
